Timestamp,Branch,Gender,Programme,year,How many hours of classes do you have in a week?,How frequently do you attend classes?,You are most likely to attend classes during,"How many courses do you have that has mandatory or random attendance, surprise quiz, marks on interaction etc?",How likely are you to attend 2 classes that has gap in between (say a class from 9am - 10am and 11am - 12-pm)?,How frequently have u attended classes before launching of attendance app?,How frequently have u attended classes after launching of attendance app?,When do you wake up usually(weekdays)?,"If your peers aren't attending a class, will you attend that class...If you have friends?",Do you care to attend classes after getting low score in exams?,What is your current CGPA? (ex. 7.73),No.of Courses,No of Classes
4/14/2024 14:52:23,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),6,2,4,4,8:00 am - 9:00 am,No,Sometimes,8.844979059,6,8
4/14/2024 15:03:30,CS/AI/MnC,Male,Bachelors,4th,<= 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),2,3,4,3,9:00 am - 10:00 am,No,Yes,8.6,3,6
4/14/2024 15:05:53,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",6,4,4,4,8:00 am - 9:00 am,No,Sometimes,8.6,6,6
4/14/2024 15:15:37,ME/CH(IC)/CE/MS/BT/BM,Female,Research,2nd,<= 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,3,3,3,7:00 am - 8:00 am,No,Yes,8,3,6
4/14/2024 15:27:01,CS/AI/MnC,Female,Bachelors,2nd,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,4,4,4,8:00 am - 9:00 am,Yes,Yes,8.6,3,5
4/14/2024 15:32:49,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),2,4,3,3,8:00 am - 9:00 am,Yes,Yes,8.96,6,5
4/14/2024 15:41:33,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,5,5,5,8:00 am - 9:00 am,Yes,Yes,9.44,6,8
4/14/2024 15:44:42,EE/EP/ES/CO,Male,Bachelors,1st,> 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),3,4,1,4,6:00 am - 7:00 am,Yes,Yes,9.25,6,6
4/14/2024 16:22:53,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,1st,> 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",4,4,4,4,7:00 am - 8:00 am,Yes,Yes,8.9,6,5
4/14/2024 16:28:12,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,> 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),4,2,4,4,7:00 am - 8:00 am,No,Yes,9.06,6,6
4/14/2024 16:30:46,CS/AI/MnC,Male,Masters,1st,<= 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,5,4,4,6:00 am - 7:00 am,Yes,Yes,8.286432936,3,6
4/14/2024 16:42:47,ME/CH(IC)/CE/MS/BT/BM,Male,Masters,1st,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),2,5,5,5,7:00 am - 8:00 am,Yes,Yes,8.180582565,6,8
4/14/2024 16:44:10,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,1,3,3,9:00 am - 10:00 am,Yes,Sometimes,8.76,6,5
4/14/2024 16:45:16,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Rarely,Evening (5:30 pm or later)  :(,2,1,0,1,After 10:00 am,Yes,No,8.95,6,3
4/14/2024 16:48:07,EE/EP/ES/CO,Male,Bachelors,3rd,> 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),1,3,4,5,6:00 am - 7:00 am,Yes,No,8.522588032,6,6
4/14/2024 16:52:00,CS/AI/MnC,Female,Bachelors,2nd,<= 12 hours,Rarely,Morning (9am - 1pm),2,1,0,3,9:00 am - 10:00 am,No,Sometimes,8.94,3,3
4/14/2024 16:57:51,CS/AI/MnC,Male,Research,2nd,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,5,5,5,7:00 am - 8:00 am,Yes,Yes,9.75,3,8
4/14/2024 16:58:24,ME/CH(IC)/CE/MS/BT/BM,Female,Masters,1st,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",1,5,5,5,6:00 am - 7:00 am,Yes,Yes,8.3,3,8
4/14/2024 17:09:49,CS/AI/MnC,Female,Bachelors,4th,> 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",8,3,4,4,8:00 am - 9:00 am,Yes,Sometimes,8.8,6,6
4/14/2024 17:14:12,ME/CH(IC)/CE/MS/BT/BM,Male,Research,4+,<= 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),1,5,5,5,6:00 am - 7:00 am,Yes,Yes,8.5,3,8
4/14/2024 17:33:01,EE/EP/ES/CO,Male,Bachelors,4th,<= 12 hours,Rarely,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",1,1,0,0,8:00 am - 9:00 am,No,No,8.1,3,3
4/14/2024 17:38:20,EE/EP/ES/CO,Male,Bachelors,4th,<= 12 hours,Rarely,Morning (9am - 1pm),1,1,3,2,9:00 am - 10:00 am,No,Sometimes,8.5,3,3
4/14/2024 17:45:34,EE/EP/ES/CO,Male,Bachelors,1st,<= 12 hours,Often,Evening (5:30 pm or later)  :(,2,2,1,5,8:00 am - 9:00 am,No,No,9.63,3,6
4/14/2024 17:54:35,EE/EP/ES/CO,Male,Bachelors,2nd,<= 12 hours,Often,Morning (9am - 1pm),1,1,4,3,8:00 am - 9:00 am,No,Sometimes,8.04,3,6
4/14/2024 18:05:47,EE/EP/ES/CO,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),Afternoon(2:30 pm - 5:30 pm),6,5,5,4,8:00 am - 9:00 am,Yes,Yes,9.24,5,8
4/14/2024 18:59:32,EE/EP/ES/CO,Male,Masters,1st,<= 12 hours,Often,Morning (9am - 1pm),2,5,4,4,6:00 am - 7:00 am,No,Yes,9,3,6
4/14/2024 19:18:50,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),3,2,2,3,8:00 am - 9:00 am,No,Sometimes,8.35,5,5
4/14/2024 19:33:58,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Often,Morning (9am - 1pm),2,2,2,2,8:00 am - 9:00 am,No,Sometimes,8,5,6
4/14/2024 20:47:46,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),3,3,4,4,8:00 am - 9:00 am,Yes,Yes,7.91,5,8
4/14/2024 20:52:08,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,2nd,<= 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",2,5,4,4,8:00 am - 9:00 am,Yes,Yes,8.3,3,6
4/14/2024 22:01:26,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,4th,<= 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",2,5,4,4,7:00 am - 8:00 am,Yes,Yes,9,3,6
4/14/2024 23:16:14,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",6,4,4,4,9:00 am - 10:00 am,No,No,8.12,5,6
4/15/2024 2:11:13,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,2nd,> 12 hours,Between Rarely and Often,Afternoon(2:30 pm - 5:30 pm),4,2,1,2,After 10:00 am,Yes,Yes,8,5,5
4/15/2024 2:15:05,ME/CH(IC)/CE/MS/BT/BM,Female,Masters,1st,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",1,4,0,4,8:00 am - 9:00 am,Yes,Yes,8.319491393,3,8
4/15/2024 13:05:23,CS/AI/MnC,Male,Bachelors,2nd,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),2,2,2,2,8:00 am - 9:00 am,No,No,9.25,3,5
4/15/2024 13:28:18,CS/AI/MnC,Female,Bachelors,1st,> 12 hours,Often,Morning (9am - 1pm),2,3,2,3,8:00 am - 9:00 am,Yes,Sometimes,8.53,5,6
4/15/2024 14:52:31,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,<= 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,3,3,4,7:00 am - 8:00 am,Yes,Sometimes,7.6,3,5
4/15/2024 14:52:32,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,3rd,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",1,5,5,5,8:00 am - 9:00 am,No,Yes,8.402327828,3,8
4/15/2024 14:52:40,EE/EP/ES/CO,Male,Bachelors,2nd,<= 12 hours,Rarely,Morning (9am - 1pm),4,2,0,1,After 10:00 am,No,Sometimes,7.224566726,3,3
4/15/2024 14:53:07,ME/CH(IC)/CE/MS/BT/BM,Female,Bachelors,2nd,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,3,3,4,8:00 am - 9:00 am,No,Sometimes,8.79,3,5
4/15/2024 14:53:34,CS/AI/MnC,Male,Bachelors,1st,> 12 hours,Rarely,Evening (5:30 pm or later)  :(,1,1,0,0,After 10:00 am,No,No,6.99,5,3
4/15/2024 14:54:14,CS/AI/MnC,Female,Bachelors,1st,<= 12 hours,Often,"Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",3,1,3,1,After 10:00 am,No,No,7.47248213,3,6
4/15/2024 14:55:58,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),5,2,5,5,6:00 am - 7:00 am,No,Yes,8.81,5,8
4/15/2024 14:56:55,EE/EP/ES/CO,Male,Bachelors,1st,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,5,4,4,8:00 am - 9:00 am,Yes,Sometimes,7.49,5,8
4/15/2024 14:57:23,EE/EP/ES/CO,Female,Bachelors,1st,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),1,5,5,5,8:00 am - 9:00 am,Yes,Yes,8.5,5,8
4/15/2024 14:58:03,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",10,5,5,5,7:00 am - 8:00 am,Yes,Yes,9.6,5,8
4/15/2024 15:00:37,CS/AI/MnC,Male,Bachelors,3rd,> 12 hours,Between Rarely and Often,Morning (9am - 1pm),2,3,5,3,9:00 am - 10:00 am,No,No,8.190463715,5,5
